locus,title,description,function,product
BSU_29520,sppI,"antagonist of [[protein|ACB7F015027A83C5D3457818A71B6F47192CEFBE]],stress protein",inhibition of [[protein|ACB7F015027A83C5D3457818A71B6F47192CEFBE]] protease activtiy,[[protein|ACB7F015027A83C5D3457818A71B6F47192CEFBE]] regulator protein
BSU_08880,rpsNB,"alternative ribosomal protein S14*,can replace [[protein|0CC562884650F322298BEA28C889E2ABCB01AFDE]] under conditions of zinc limitation",translation,alternative ribosomal protein S14*
BSU_04670,rsbR,"[wiki|stressosome] sensor protein,control of [[protein|580011DE5DC40EC9E7E0512791D328FAA010DCB8]] activity",control of [[protein|580011DE5DC40EC9E7E0512791D328FAA010DCB8]] activity,activator of [[protein|RsbT ]]kinase activity
BSU_07955,yfkA,"putative Fe-S oxidoreductase,affects the level of [[protein|3054CD45713BBD69C2A528DE24AF6AF37175FD9D]] modification",control of [[protein|3054CD45713BBD69C2A528DE24AF6AF37175FD9D]] modification,putative Fe-S oxidoreductase
BSU_24250,ahrC,"transcriptional regulator of the ArgR family,AhrC represses the genes for arginine biosynthesis and activates the genes for arginine catabolism",transcriptional regulator of arginine metabolic genes,transcriptional regulator (ArgR family)
BSU_12790,xhlA,"involved in cell lysis upon induction of PBSX,required for the formation of membrane vesicles in a sub-population of cells",host cell lysis,unknown
BSU_30660,ctaK,"lipoprotein,required for the assembly of the CuA center in [[protein|72D5442C0EF3B404F7B615366E357B68C863CEB6|cytochrome caa3]]",assembly of the CuA center in [[protein|72D5442C0EF3B404F7B615366E357B68C863CEB6|cytochrome caa3]] (together with [[protein|0337C7B1CFA1C59710A7E6463A370F8C39AAC8EA]]),unknown
BSU_37160,rpoE,"[[protein|RNA polymerase]] delta subunit,affects the regulation of [wiki|RNA polymerase] by the concentration of the initiating nucleoside triphosphate (iNTP)",[wiki|transcription],[wiki|RNA polymerase] delta subunit
BSU_11780,cotV,"spore crust protein (insoluble fraction),formation of the spore crust",resistance of the spore,spore crust protein (insoluble fraction)
BSU_29110,phoP,"two-component response regulator ([wiki|OmpR family]),regulation of phosphate metabolism",regulation of phosphate metabolism ([[gene|E0430C16C41440633647976A0F9183E24268E198]],[[gene|3B95AB3021280215B6B487A348D78FB5797AEEA6]]
BSU_36669,ywzF,"unknown,putative pseudogene",unknown,unknown
BSU_23050,ribU,"riboflavin [wiki|ECF transporter],S protein",riboflavin uptake,S protein of riboflavin [wiki|ECF transporter]
BSU_39010,tlrB,"23S rRNA (guanine-N(1)-)-methyltransferase,confers resistance against the macrolide antibiotic tylosin (produced by <i>Streptomyces fradiae</i>)",resistance against tylosin,23S rRNA (guanine-N(1)-)-methyltransferase
BSU_06812,yeeF,"polymorphic LXG toxin,non-specific metal-dependent DNase",competetion with other bacteria in biofilms,LXG toxin
BSU_07050,yesW,"rhamnogalacturonan lyase,generates oligosaccharides",utilization of rhamnogalacturonan,rhamnogalacturonan lyase
BSU_29230,dnaE,"lagging strand DNA polymerase III (alpha subunit),part of the [wiki|replisome]",[[category|SW.3.1.1]](lagging strand),lagging strand DNA polymerase III (alpha subunit)
BSU_14020,kre,"[[protein|08CFA2C72931A75532D4289BC1D18A826DE9F9CA]] repressor,stimulates degradation of the [[gene|comK ]]mRNA",control of [[protein|ComK ]]accumulation and of bistable competence gene expression,[[protein|ComK ]]repressor
BSU_15010,ylbH,"predicted methyltransferase,16S rRNA (G966) methyltransferase",unknown,unknown
BSU_28490,uvrC,"excinuclease ABC (subunit C),required for transcription-dependent asymmetry in mutation rates of genes in the two orientations",DNA repair after UV damage,excinuclease ABC (subunit C)
BSU_41020,thdF,"GTP-binding protein,putative tRNA modification GTPase",tRNA modification,putative tRNA modification GTPase
BSU_15280,ftsA,"cell division protein,membrane anchor for [[protein|41872E2EF00C79918DD077F2EF78F37E24FEB110]]",formation of Z-ring,[wiki|cell division] protein
BSU_10860,bstC,"bacillithiol S-transferase,similar to nuclease inhibitor",unknown,bacillithiol S-transferase
BSU_00010,dnaA,"AAA  ATPase,[[category|SW.3.1.1|replication]] initiation protein",[[category|SW.3.1.1]],replication initiation protein
BSU_09710,bmrC,"multidrug [wiki|ABC transporter] (ATP-binding protein),also involved in the signalling pathway to activate [[protein|KinA ]]at the onset of [wiki|sporulation]",multiple antibiotic resistance,multidrug [wiki|ABC transporter ](ATP-binding protein)
BSU_12660,xkdM,"PBSX prophage,similar to R-Type bacteriocin tube protein",unknown,unknown
BSU_31530,malR,"two-component response regulator,regulation of malate uptake",regulation of malate uptake,two-component response regulator
BSU_16380,flhB,"part of the flagellar type III export apparatus  (flagellar Type III secretion system),part of the CORE complex required for flagellum and nanotube assembly",flagellum and nanotube assembly,part of the type III CORE export apparatus
BSU_17460,glnA,"glutamine synthetase,trigger enzyme",glutamine biosynthesis,control of [[protein|857EF1AC54DEA0690C01B7F8CEFFD16312C58F20]] and [[protein|641C4BDD9702804642E1753A9C779E80FABB3919]] activity
BSU_30880,ytcC,"sporulation protein,similar to lipopolysaccharide N-acetylglucosaminyltransferase",lipopolysaccharide biosynthesis,sporulation protein
BSU_18180,yngB,"UTP-glucose-1-phosphate uridylyltransferase,important for wall teichoic acid modification and glycolipid formation during anaerobic growth",wall teichoic acid modification and glycolipid formation under anaerobic conditions,UTP-glucose-1-phosphate uridylyltransferase
BSU_04270,ydaJ,"lipoprotein,may modify the extracellular polysaccharide synthesized by [[protein|28D80C5497AE29A24AD6B9A1A713A2B3915F2CED]]-[[protein|961538BEDD27C24FC073AFB7AB3268E3D46783CC]]-[[protein|ADE0122D8FFF2F78B6D21031B7D02A323A13ED63]]",unknown,lipoprotein
BSU_35620,lytC,"N-acetylmuramoyl-L-alanine amidase,required for flagellar function",major autolysin,cell separation
BSU_24770,mgsR,"transcriptional regulator of a subset of the [[protein|580011DE5DC40EC9E7E0512791D328FAA010DCB8]] general stress regulon,required for protection against oxidative stress",controls a subset of general stress genes,transcriptional regulator
BSU_39980,qdoI,"Fe-containing quercetin 2,3-dioxygenase",resistance to plant product quercetin,Fe-containing quercetin 2
BSU_35380,fliW,"checkpoint protein for [[gene|E0BB77C8F1220E931D16A1FA6B75AE8907C76FDB]] expression,[[protein|93F328524989597C7D2329B25E665496C9631E87]] antagonist",control of [[protein|93F328524989597C7D2329B25E665496C9631E87]] activity,flagellar assembly factor
BSU_26558,yrzM,"unknown,putative pseudogene",unknown,unknown
BSU_16430,cheA,"two-component sensor kinase,chemotactic signal modulator",chemotactic signal modulator,two-component sensor kinase
BSU_35870,capE,"stimulates poly-gamma-glutamate production in the presence of zinc,also involved in extra-chromosomal DNA maintenance",capsule synthesis,unknown
BSU_34530,cotR,"outer spore coat protein,lipolytic enzyme",hydrolysis of lysophospholipids,outer spore coat lipolytic enzyme
BSU_22040,bpsB,"methyltransferase,involved in polyketide synthesis",polyketide synthesis,methyltransferase
BSU_30340,ytvA,"blue light sensor,positive regulation of [[protein|580011DE5DC40EC9E7E0512791D328FAA010DCB8]] activity under conditions of blue light",control of [[protein|580011DE5DC40EC9E7E0512791D328FAA010DCB8]] activity,blue light receptor
BSU_36860,atpE,"ATP synthase,part of the Fo complex (subunit c)",ATP synthesis,ATP synthase (subunit c)
BSU_12360,exuT,"galacturonate transport in via proton symport,glucuronate transport in via proton symport",hexuronate uptake,hexuronate transporter
BSU_09930,yhaM,"RNase,3 5 exoribonuclease",RNA degradation,RNase YhaM
BSU_26640,czcO,"similar to flavin-containing monooxygenase,facilitates cation  export via [[protein|7FB5BCC16D688465A820F436F657C49625257884]]",resistance to toxic metal ions,unknown
BSU_28660,sspI,"small acid-soluble spore protein (minor),SASP",protection of spore DNA,small acid-soluble spore protein (minor)
BSU_34290,epsI,"glycosyltransferase,synthesis of extracellular poly-N-acetylglucosamine",synthesis of extracellular poly-N-acetylglucosamine,glycosyltransferase
BSU_16350,fliP,"part of the flagellar type III export apparatus  (flagellar Type III secretion system),part of the CORE complex required for flagellum and nanotube assembly",flagellum and nanotube assembly,part of the type III CORE export apparatus
BSU_09950,prsA,"lipoprotein,post-translocational folding of exported proteins (post-translocation molecular chaperone)",protein folding,post-translocation molecular chaperone
BSU_14040,ldt,"L,D-transpeptidase involved in cell wall synthesis",cell wall biosynthesis,L
BSU_26390,sigKC,"[wiki|RNA polymerase ][wiki|sporulation]-specific [wiki|sigma factor ](SigK) (3' part of the interrupted [[gene|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]] gene),with [[gene|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]]",late mother cell-specific gene expression,[wiki|RNA polymerase ][wiki|sporulation]-specific [wiki|sigma factor ](SigK) (3' part of the interrupted [[gene|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]] gene)
BSU_19120,czrA,"transcriptional repressor ([wiki|ArsR family]),[[gene|5BC6B02770E74FF6D453742832574A87BB2369B8]] and [[gene|7FB5BCC16D688465A820F436F657C49625257884]]",regulation of resistance against toxic metal cations,transcriptional repressor ([wiki|ArsR family])
BSU_31520,malK,"two-component sensor kinase,regulation of malate uptake",regulation of malate uptake,two-component sensor kinase
BSU_27320,greA,"transcription elongation factor,resolves stalled [wiki|RNA polymerase] at promoter or promoter-proximal regions",transcription elongation,transcription elongation factor
BSU_12880,ykcB,"glucosyltransferase,transfer of glucose from C<sub>55</sub>-P-Glc to a target molecule",unknown,glucosyltransferase
BSU_03750,yclJ,"two-component response regulator ([wiki|OmpR family]),active under anaerobic conditions",unknown,two-component response regulator ([wiki|OmpR family])
BSU_09920,sbcE,"SMC-like protein,involved in DNA double-strand break repair and competence",DNA double-strand break repair and competence,SMC-like protein
BSU_33500,copA,"copper-exporting ATPase,resistance to copper",copper export,detoxification
BSU_12870,mhqA,"hydroquinone-specific dioxygenase,confers resistence to methyl-hydroxyquinone",resistence to methyl-hydroxyquinone,hydroquinone-specific dioxygenase
BSU_10430,yhxD,"general stress protein,similar to alcohol dehydrogenase",survival of salt and ethanol stresses,unknown
BSU_19540,yodB,"[wiki|MarR family|MarR/DUF24 family] transcription repressor of [[gene|CFFFFE96FB7AEEF7190F81332369F0A6834C34A4]],[[gene|B7A0D1B3CAA2733A33BCCDDB6774ABF1A0223473]]-[[gene|catE ]]and [[gene|yodC ]]expression",regulation of quinone and diamide detoxification,[wiki|MarR family|MarR/DUF24 family] transcription repressor
BSU_29400,ascR,"alkyl-sulphur catabolism regulator,transcriptional activator of the [[gene|E3F1B3A4086DBC40FD9AE9CD6981270FBDFA6CAF]]-[[gene|A6A13C54177381CE78ABA2CFC2A3F2CE12099F15]]-[[gene|A8FA40EACDB15CF53DDDA725A3AA5A6EB654FA8B]]-[[gene|350C97E4A4C60A6E2FF9610D50B4A49FB9F9B42D]]-[[gene|B1DD32A3B3D1C0C5391A40834940257357A2F30F]]-[[gene|B24763A732111026D21C828FF9BE73FB22A123CF]]-[[gene|EDC3565D90D7059A4A4C66A13EB568420F6CECD4]]-[[gene|FCD25CA4414D689B217F54B0C44EB805F9590454]]-[[gene|8145952307BC47805A7A9BD39418474358043BFE]]-[[gene|3D32B6C1DC9CAC615B02E14EA846648C3B0E61D6]]-[[gene|0DE66A10D9475DC57A140561E8532D3EC038FD6F]]-[[gene|ytnM ]]operon",regulation of sulphur metabolism,alkyl-sulphur catabolism regulator
BSU_29590,nifZ,"cysteine desulfurase,biosynthesis of 4-thiouridine in tRNA",biosynthesis of 4-thiouridine in tRNA,cysteine desulfurase
BSU_04440,dctB,"C4-dicarboxylate binding protein,co-sensor for DctS",sensing of C4-dicarboxylates,C4-dicarboxylate binding protein
BSU_01600,ybbA,"enterobactin esterase,release of iron from enterobactin",iron acquisition from enterobactin [pubmed|28283524],enterobactin esterase [pubmed|28283524]
BSU_10660,hlpB,"HNH nuclease-like protein,rescues [[protein|49E8BFEC1CAB77DD91E0ED0791EBD480E4871239]]-[[protein|55A1EF8A10CB398CCD3FDD06D9483FE0DCE31C64]]-mediated recombination intermediates",rescuing of [[protein|49E8BFEC1CAB77DD91E0ED0791EBD480E4871239]]-[[protein|55A1EF8A10CB398CCD3FDD06D9483FE0DCE31C64]]-mediated recombination intermediates,HNH nuclease-like protein
BSU_27070,levD,"fructose-specific permease of the [wiki|phosphotransferase systems|phosphotransferase system],EIIA of the [[category|SW.1.2.2|PTS]]",fructose uptake and phosphorylation,fructose-specific [[category|SW.1.2.2|PTS]]
BSU_03360,zagA,"zinc metallochaperone,ZTP activated GTPase A",supply of zinc from [[protein|035154A4160F084BA1CC124D0951937B203E167D]] to [[protein|7732A37D59E2643F232F2C0AFE51BCF7A79EDE29]],ZTP activated GTPase A
BSU_05830,gmuC,"glucomannan-specific permease of the [wiki|phosphotransferase systems|phosphotransferase system],EIIC of the [[category|SW.1.2.2|PTS]]",glucomannan uptake and phosphorylation,glucomannan-specific lichenan-specific [[category|SW.1.2.2|PTS]]
BSU_23190,dacB,"sporulation-specific Class C penicillin-binding protein 5*,D-alanyl-D-alanine carboxypeptidase",control of peptide cross-linking in spore peptidoglycan,penicillin-binding protein 5*
BSU_12900,htrA,"membrane-anchored protein quality control protease,serine protease Do",protein quality control,serine protease Do
BSU_22780,folE,"GTP cyclohydrolase I,required for the initial step of queuosine synthesis ([wiki|tRNA modification])",biosynthesis of folate and queuosine,GTP cyclohydrolase IA
BSU_25650,yqeI,"similar to predicted RNA-binding protein,may be involved in ribosome assembly",unknown,unknown
BSU_22036,fbpC,"new RNA feature,independent transcript",NA,independent transcript
BSU_16700,swsB,"similar to deacetylase,required for efficient degradation of the spore cortex by [[protein|49ED84B48CEC09493B6056D03D2A57578770CE15]] during [wiki|germination]",required for spore cortex degradation during [wiki|germination],unknown
BSU_18978,bsrE,"toxin,maintenance of the prophage-like element P6",maintenance of the prophage-like element P6,toxin
BSU_01960,skfF,"[wiki|ABC transporter] (permease),export of the spore killing factor",export of the spore killing factor [[protein|DDB0022F50999AC52809D651C9CC5A5FDC71302C]],[wiki|ABC transporter] (permease)
BSU_41010,gidA,"glucose-inhibited division protein,tRNA uridine 5-carboxymethylaminomethyl modification enzyme",tRNA modification,tRNA uridine 5-carboxymethylaminomethyl modification enzyme
BSU_15650,yloB,"ATP-driven Ca<sup>2+</sup> pump,transports calcium ions from the mother cell to the forespore",accumulation of calcium in the spore,ATP-driven Ca<sup>2+</sup> pump
BSU_31680,comA,"two-component system response regulator,controls gene expression in response to cell density (concentration of [[protein|60D6EB02923D9ADE88F61A8CBBD882BA8BDD457E]])",regulation of genetic competence and quorum sensing,two-component system response regulator
BSU_25590,comEA,"membrane DNA receptor,plays an important role in the transfer of transforming DNA into the DNA channel and in controlling the rate of DNA uptake",genetic competence,membrane DNA receptor
BSU_38500,dltA,"D-alanyl-D-alanine carrier protein ligase,alanylation of teichoic acid provides some resistance against positively charged antimicrobial peptides and against bacteriophage infection",biosynthesis of teichoic acid,D-alanyl-D-alanine carrier protein ligase
