old_locus_tag,locus_tag,Gene product,gene name,Functional class,Functional colour,Transcriptome p-adj value , Transcriptome log2fold change in 630?erm?spo0A, Proteome log2fold change in 630?erm?spo0A,Mature spore proteome (PMID:19542279)
CD1927,CD630_19270,"Fragment of ABC-type transport system,ATP-binding protein",,1.5.5,11,not significant,not significant,not detected,not detected
CD1928,CD630_19280,putative membrane protein,,4.1.6,3,1.70E-10,-2.0794,not detected,not detected
CD1929,CD630_19290,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD1930,CD630_19300,putative exported protein,,4.1.7,3,0.0003,1.03,1.4163,detected
CD1931,CD630_19310,"Transcriptional regulator, LexA repressor",lexA,2.2.3,2,not significant,not significant,0.1795,not detected
CD1932,CD630_19320,putative phage integrase,,2.2.3,2,not significant,not significant,not detected,not detected
CD1933,CD630_19330,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD1934,CD630_19340,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1935,CD630_19350,Stage V sporulation protein S,spoVS,1.8.1,0,not significant,not significant,-1.7431,not detected
CD1936,CD630_19360,Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,accA,3.6.1,7,not significant,not significant,0.019,not detected
CD1937,CD630_19370,Acetyl-CoA carboxylase subunit beta,accD,3.6.1,7,not significant,not significant,-0.1295,not detected
CD1938,CD630_19380,Acetyl-CoA carboxylase subunit,accC,3.6.1,7,not significant,not significant,-0.1165,not detected
CD1939,CD630_19390,Acetyl-CoA carboxylase subunit,accB,3.6.1,7,not significant,not significant,-0.3095,not detected
CD1940,CD630_19400,putative membrane protein,,4.1.6,3,0.0012,-2.0344,not detected,not detected
CD1940A,CD630_19401,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD1941,CD630_19410,uncharacterised protein,,7.0.0,13,8.71E-05,-1.199,not detected,not detected
CD1942,CD630_19420,transfer RNA (guanine-N(7)-)-methyltransferase (tRNA(m7G46)-methyltransferase),trmB,2.2.1,2,not significant,not significant,not detected,not detected
CD1943,CD630_19430,uncharacterised protein,,7.0.0,13,not significant,not significant,-0.056,detected
CD1944,CD630_19440,Fragment of conserved hypothetical protein (C-terminal region),,0.0.2,11,not significant,not significant,not detected,not detected
CD1945,CD630_19450,putative glyoxalase,,1.4.2,0,not significant,not significant,not detected,not detected
CD1946,CD630_19460,"Transcriptional regulator, AraC family",,6.3.2,9,not significant,not significant,not detected,not detected
CD1947,CD630_19470,"ABC-type transport system, ATP-binding protein",,1.5.5,3,not significant,not significant,not detected,not detected
CD1948,CD630_19480,"ABC-type transport system, permease",,1.5.5,3,not significant,not significant,not detected,not detected
CD1949,CD630_19490,Two-component sensor histidine kinase,,6.1.1,9,not significant,not significant,not detected,not detected
CD1949A,CD630_19491,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1950,CD630_19500,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD1951,CD630_19510,putative Acyl-CoA N-acyltransferase,,7.0.0,13,not significant,not significant,not detected,not detected
CD1952,CD630_19520,"Transcriptional regulator, LysR family",,6.3.6,9,not significant,not significant,not detected,not detected
CD1953,CD630_19530,conserved hypothetical protein,,0.0.2,10,not significant,not significant,0.0247,not detected
CD1954,CD630_19540,"ABC-type transport system, permease",,1.5.5,3,not significant,not significant,not detected,not detected
CD1955,CD630_19550,"ABC-type transport system, ATP-binding protein",,1.5.5,3,not significant,not significant,not detected,not detected
CD1956,CD630_19560,Two-component sensor histidine kinase,,6.1.1,9,not significant,not significant,not detected,not detected
CD1957,CD630_19570,Two-component response regulator,,6.1.2,9,not significant,not significant,not detected,not detected
CD1958,CD630_19580,putative 4Fe-4S binding protein; putative ferredoxin; putative dehydrogenase; putative reductase,,3.5.0,1,not significant,not significant,not detected,not detected
CD1959,CD630_19590,Two-component response regulator,,6.1.2,9,not significant,not significant,not detected,not detected
CD1960,CD630_19600,Two-component sensor histidine kinase,,6.1.1,9,not significant,not significant,not detected,not detected
CD1961,CD630_19610,"ABC-type transport system, ATP-binding protein",,1.5.5,3,not significant,not significant,not detected,not detected
CD1962,CD630_19620,"ABC-type transport system, permease",,1.5.5,3,not significant,not significant,not detected,not detected
CD1963,CD630_19630,putative methyltransferase,,7.0.0,13,not significant,not significant,0.1669,not detected
CD1964,CD630_19640,putative transcriptional regulator,,6.5.0,9,not significant,not significant,-0.0762,not detected
CD1965,CD630_19650,putative permease,,1.5.5,3,not significant,not significant,not detected,not detected
CD1966,CD630_19660,putative acyl-CoA thioesterase,,7.0.0,13,not significant,not significant,not detected,not detected
CD1967,CD630_19670,uncharacterised protein,,7.0.0,13,7.22E-18,-2.0477,not detected,not detected
CD1968,CD630_19680,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD1969,CD630_19690,putative oligonucleotide binding regulator,,6.5.0,9,not significant,not significant,-0.1582,not detected
CD1970,CD630_19700,"putative enzyme, cyclase family",,7.0.0,13,not significant,not significant,0.1834,not detected
CD1971,CD630_19710,"putative protein, Sir2 family; putative silencing, chromosome stability or ageing; putative ADP ribosyltransferase",,7.0.0,13,not significant,not significant,not detected,not detected
CD1972,CD630_19720,"putative peptidase, M20A family",,2.1.4,5,not significant,not significant,-0.1853,detected
CD1973,CD630_19730,aluminum resistance protein,,1.4.2,0,not significant,not significant,-0.0736,not detected
CD1974,CD630_19740,Hfq-like RNA chaperone,hfq,1.3.1,0,not significant,not significant,-0.0233,detected
CD1975,CD630_19750,transfer RNA delta(2)-isopentenylpyrophosphate transferase,miaA,2.2.11,2,not significant,not significant,-0.4005,not detected
CD1976,CD630_19760,DNA mismatch repair protein MutL,mutL,2.2.3,2,not significant,not significant,-0.0232,not detected
CD1977,CD630_19770,DNA mismatch repair protein MutS,mutS,2.2.3,2,not significant,not significant,0.3817,not detected
CD1978,CD630_19780,"ABC-type transport system, ATP-binding protein",,1.5.5,3,not significant,not significant,not detected,not detected
CD1979,CD630_19790,"ABC-type transport system, extracellular solute-binding protein",,1.5.5,3,not significant,not significant,0.2445,detected
CD1980,CD630_19800,"ABC-type transport system, permease",,1.5.5,3,not significant,not significant,not detected,not detected
CD1980A,CD630_19801,conserved hypothetical protein,,0.0.2,10,not significant,not significant,0.4533,not detected
CD1981,CD630_19810,"Transcriptional regulator, hxlR family",,6.5.0,9,not significant,not significant,not detected,not detected
CD1982,CD630_19820,Fragment of putative phenazine biosynthesis protein,,2.2.2,11,not significant,not significant,not detected,not detected
CD1984,CD630_19840,"putative hydrolase, NUDIX family",,3.4.0,6,not significant,not significant,not detected,not detected
CD1985,CD630_19850,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD1986,CD630_19860,(Dimethylallyl)adenosine tRNA methylthiotransferase miaB (tRNA-i(6)A37 methylthiotransferase),miaB,4.2.2,2,not significant,not significant,-0.0437,not detected
CD1987,CD630_19870,putative cell wall binding protein cwp28,cwp28,4.1.8,3,not significant,not significant,not detected,not detected
CD1987A,CD630_19871,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1988,CD630_19880,putative tryptophan transport protein,,1.5.1,3,not significant,not significant,not detected,not detected
CD1989,CD630_19890,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD1990,CD630_19900,putative protein with SH3 domain,,0.0.2,10,not significant,not significant,not detected,not detected
CD1990A,CD630_19901,"Fragment of transcriptional regulator,beta-lactams repressor",,6.5.0,11,not significant,not significant,not detected,not detected
CD1990B,CD630_19902,Major cold shock protein CspC,cspC1,1.6.1,0,not significant,not significant,not significant,not detected
CD1990C,CD630_19903,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1990D,CD630_19904,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1991,CD630_19910,Fragment of integrase (C-terminal region),,5.1.2,11,not significant,not significant,not detected,not detected
CD1992,CD630_19920,putative lipoprotein,,4.1.7,3,not significant,not significant,not detected,not detected
CD1992A,CD630_19921,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1993,CD630_19930,putative decarboxylase,,3.4.2,6,2.19E-11,-1.7085,-1.1385,not detected
CD1994,CD630_19940,"putative membrane protein, DUF1648 family",,4.1.6,3,not significant,not significant,not detected,not detected
CD1994A,CD630_19941,"Transcriptional regulator, ArsR family",,6.3.13,9,not significant,not significant,not detected,not detected
CD1994B,CD630_19942,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD1995,CD630_19950,putative membrane protein,,4.1.6,3,not significant,not significant,not detected,not detected
CD1996,CD630_19960,"Transcriptional regulator, AraC family",,6.3.2,9,0.0018,-0.879,not detected,not detected
CD1997,CD630_19970,"putative proline iminopeptidase (PIP), S33 family",,2.1.4,5,not significant,not significant,not detected,not detected
CD1998,CD630_19980,"Transcriptional regulator, TetR family",,6.3.8,9,not significant,not significant,not detected,not detected
CD1998A,CD630_19981,Fragment of conserved hypothetical protein (C-terminal region),,0.0.2,11,not significant,not significant,not detected,not detected
CD1999,CD630_19990,Flavodoxin,fldX,3.5.3,1,not significant,not significant,not detected,not detected
CD2000,CD630_20000,Intracellular serine protease,isp,2.1.4,5,not significant,not significant,not detected,not detected
CD2001,CD630_20010,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD2002,CD630_20020,"Transcriptional regulator, HTH-type",,6.5.0,9,not significant,not significant,not detected,not detected
CD2002A,CD630_20021,Fragment of uncharacterised protein (N-terminal region),,0.0.2,11,not significant,not significant,not detected,not detected
CD2003,CD630_20030,"putative drug/sodium antiporter, MATE family",effD,1.4.3,3,not significant,not significant,not detected,not detected
CD2004,CD630_20040,"Transcriptional regulator, MarR family",effR,6.3.7,9,not significant,not significant,0.2201,not detected
CD2005,CD630_20050,Fragment of conserved hypothetical protein (C-terminal region),,5.1.4,11,not significant,not significant,not detected,not detected
CD2005A,CD630_20051,Fragment of conserved hypothetical protein (N-terminal region),,5.1.4,11,not significant,not significant,not detected,not detected
CD2005B,CD630_20052,Fragment of conserved hypothetical protein (Central region),,0.0.2,11,not significant,not significant,not detected,not detected
CD2006,CD630_20060,Fragment of putative topoisomerase (C-terminal region),,5.1.4,11,not significant,not significant,not detected,not detected
CD2006A,CD630_20061,uncharacterised protein,,7.0.0,13,4.49E-13,2.5922,not detected,not detected
CD2007,CD630_20070,ribosomal RNA adenine N-6-methyltransferase (erythromycin resistance protein),ermB,1.4.2,0,6.05E-131,4.9719,1.4403,detected
CD2007A,CD630_20071,Fragment of conserved hypothetical protein (N-terminal region),,0.0.2,11,not significant,not significant,not detected,not detected
CD2008,CD630_20080,putative hydrolase,,3.4.0,6,not significant,not significant,-0.1484,not detected
CD2009,CD630_20090,Fragment of putative topoisomerase (C-terminal region),,5.1.4,11,not significant,not significant,not detected,not detected
CD2009A,CD630_20091,uncharacterised protein,,7.0.0,13,8.33E-17,2.3473,not detected,not detected
CD2010,CD630_20100,ribosomal RNA adenine N-6-methyltransferase (erythromycin resistance protein),ermB1,1.4.2,0,1.00E-93,4.7498,1.4403,detected
CD2010A,CD630_20101,23S rRNA methylase leader peptide,ermC,1.4.2,0,not significant,not significant,not detected,not detected
CD2010B,CD630_20102,Fragment of putative transcriptional regulator (C-terminal region),,5.1.4,11,not significant,not significant,not detected,not detected
CD2010C,CD630_20103,Fragment of conserved hypothetical protein (Central region),,0.0.2,11,not significant,not significant,not detected,not detected
CD2012,CD630_20120,putative hydrolase,hydD,3.4.0,6,not significant,not significant,not detected,not detected
CD2013,CD630_20130,"Transcriptional regulator, TetR family",hydR,6.3.8,9,not significant,not significant,NaN,not detected
CD2013A,CD630_20131,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD2014,CD630_20140,Dihydroxy-acid dehydratase,ilvD,3.1.11,7,not significant,not significant,0.2369,not detected
CD2014A,CD630_20141,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD2015,CD630_20150,putative VanZ-like transposon protein,,5.1.4,12,not significant,not significant,not detected,not detected
CD2016,CD630_20160,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD2017,CD630_20170,"Transcriptional regulator, HTH-type",,6.5.0,9,not significant,not significant,-0.0424,not detected
